Keyword,Intents,Volume,Keyword Difficulty,CPC,Competition Density,coppel.com,liverpool.com.mx,chedraui.com.mx,bodegaaurrera.com.mx,walmart.com.mx,coppel.com (pages),liverpool.com.mx (pages),chedraui.com.mx (pages),bodegaaurrera.com.mx (pages),walmart.com.mx (pages),Results
iphone 13 pro,"Informational, Transactional",165000,37,0.11,1.00,19,4,0,0,44,https://www.coppel.com/celular-apple-iphone-13-pro-max-128gb-color-grafito-reacondicionado-mkp-10424976,https://www.liverpool.com.mx/tienda/?s=iphone%2013,,,https://www.walmart.com.mx/ip/smartphones/iphone-13-pro-apple-256gb-gris-reacondicionado/00085369895460,4580000000
iphone 11 pro max,Informational,135000,34,0.05,1.00,8,4,0,0,11,https://www.coppel.com/celulares-apple,https://www.liverpool.com.mx/tienda/?s=iphone%2011%20pro%20max,,,https://www.walmart.com.mx/search?q=iphone+11+pro+max&z=1,1900000000
iphone 14 pro,"Informational, Transactional",135000,41,0.12,1.00,21,8,0,0,15,https://www.coppel.com/apple-iphone-14-pro-(128-gb)-morado-oscuroreacondicionado-mkp-10427748,https://www.liverpool.com.mx/tienda/?s=iphone%2014,,,https://www.walmart.com.mx/ip/smartphones/iphone-14-pro-apple-128-gb-esim-negro-reacondicionado/00085369892777,4030000000
iphone xr,Informational,135000,46,0.04,0.85,64,6,0,29,10,https://www.coppel.com/funda-mybat-clutch-cartera-negra-colgante-para-iphone-15-pro-max-mkp-439018369n2263,https://www.liverpool.com.mx/tienda/?s=iphone%20xr//,,https://www.bodegaaurrera.com.mx/ip/smartphones/smartphone-iphone-xr-apple-64gb-reacondicionado/00019019877648,https://www.walmart.com.mx/ip/smartphones/iphone-apple-xr-64gb-azul/00084279709293,515000000
iphone 12 pro,Informational,110000,34,0.09,1.00,8,2,0,0,12,https://www.coppel.com/celular-apple-iphone-12-pro-128gb-color-gris-reacondicionado-mkp-10426051,https://www.liverpool.com.mx/tienda/?s=iphone%2012%20pro,,,https://www.walmart.com.mx/ip/smartphones/smartphone-apple-iphone-12-pro-128gb-gris-reacondicionado/00085369892474,3700000000
iphone 15 plus,"Informational, Navigational",110000,42,0.11,1.00,17,16,0,26,0,https://www.coppel.com/telcel-apple-iphone-15-plus-128-gb-negro-pm-2240823,https://www.liverpool.com.mx/tienda/pdp/apple-iphone-15-plus-6.7-pulgadas-super-retina-xdr-6.7-pulgadas-desbloqueado/1142674451,,https://www.bodegaaurrera.com.mx/ip/smartphones/apple-iphone-15-plus-128-gb-negro-dual-sim-fisica/00019594904066,,1450000000
iphone 8,Informational,110000,39,0.04,0.41,8,5,0,29,10,https://www.coppel.com/iphone-8,https://www.liverpool.com.mx/tienda/?s=iphone%208%20negro//,,https://www.bodegaaurrera.com.mx/ip/smartphones/smartphone-iphone-8-apple-iphone-de-64gb-dorado-apple-reacondicionado/00046467996019,https://super.walmart.com.mx/ip/iphone-8-apple-64-gb-gold-telcel/00750622732807,8880000000
iphone 12 mini,Informational,90500,37,0.12,1.00,7,4,0,0,22,https://www.coppel.com/celular-apple-iphone-12-mini-5g-negro-de-64-gb-reacondicionado-mkp-10424214,https://www.liverpool.com.mx/tienda/?s=iphone%2012%20mini,,,https://www.walmart.com.mx/ip/smartphones/smartphone-apple-iphone-12-mini-64gb-negro-desbloqueado/00019425201229,3110000000
iphone 6s,Informational,90500,38,0.09,1.00,14,13,0,42,26,https://www.coppel.com/precio-iphone-6,https://www.liverpool.com.mx/tienda/?s=iphone%206,,https://www.bodegaaurrera.com.mx/ip/smartphones/iphone-apple-6s-32-gb-gris/00084279705499,https://www.walmart.com.mx/ip/smartphones/apple-iphone-6s-plus-32-gb-gris-100-autentico-apple-apple-iphone-6s-plus-smartphone-reacondicionado/00074062802102,354000000
iphone x,Informational,90500,40,0.05,0.71,23,6,0,0,17,https://www.coppel.com/celular-apple-iphone-x-64gb-reacondicionado-plateado-mas-audifonos-genericos-mkp-10423346,https://www.liverpool.com.mx/tienda/?s=iphone%20x,,,https://www.walmart.com.mx/ip/smartphones/smartphone-iphone-x-64gb-apple-apple-negro-a1865/00064531282145,6000000000
como rastrear un celular,Informational,74000,61,0.17,0.81,24,77,0,0,0,https://www.coppel.com/blog/tecnologia-entretenimiento/todas-las-ventajas-de-una-aplicacion-para-rastrear-celulares/,https://www.liverpool.com.mx/tienda/paginas/whatsapp,,,,150000000
iphone se,Informational,74000,37,0.09,1.00,13,9,0,0,0,https://www.coppel.com/l/iphone-se,https://www.liverpool.com.mx/tienda/?s=iphone%20se//,,,,5350000000
iphone xs,Informational,74000,37,0.04,0.60,9,6,0,33,19,https://www.coppel.com/iphone-xs-max-precio,https://www.liverpool.com.mx/tienda/?s=iphone%20xs//,,https://www.bodegaaurrera.com.mx/ip/smartphones/iphone-apple-iphone-xs-64-gb-5-85-pulg-4-gb-ram/00072679825799,https://www.walmart.com.mx/ip/smartphones/smartphone-iphone-xs/00019019879106,839000000
cargador iphone,Informational,60500,35,0.07,1.00,5,2,0,29,12,https://www.coppel.com/cargadores-y-cables-iphone,https://www.liverpool.com.mx/tienda?s=cargador%20de%20iphone%20original,,https://www.bodegaaurrera.com.mx/ip/cargadores-y-baterias-portatiles/cargador-carga-rapida-20w-cable-lightning-apple-para-iphone/00065952555703,https://www.walmart.com.mx/ip/cargadores-y-baterias-portatiles/cargador-magsafe-para-iphone-apple-a2140/00066755063574,89
iphone 11 pro,Informational,60500,40,0.06,1.00,12,4,0,0,26,https://www.coppel.com/celulares-apple,https://www.liverpool.com.mx/tienda/?s=iphone%2011%20pro,,,https://www.walmart.com.mx/search?q=iphone%2011%20pro&z=1,4970000000
iphone 13 mini,Informational,60500,36,0.09,1.00,9,2,0,15,13,https://www.coppel.com/celular-apple-iphone-13-mini-128gb-negro-reacondicionado-mkp-104211049,https://www.liverpool.com.mx/tienda/?s=iphone%2013%20mini,,https://www.bodegaaurrera.com.mx/ip/smartphones/iphone-13-mini-apple-128gb-azul-reacondicionado/00085369895422,https://super.walmart.com.mx/ip/iphone-13-mini-apple-256-gb-medianoche-telcel/00750622734331,2210000000
iphone 16 pro,"Informational, Transactional",60500,44,0.24,1.00,33,7,0,0,48,https://www.coppel.com/iphone-16-pro-max-telcel-256-gb-titanio-negro-pm-2693293,https://www.liverpool.com.mx/tienda/pdp/apple-iphone-16-pro-max-6.9-pulgadas-super-retina-xdr/1163571341,,,https://www.walmart.com.mx/ip/smartphones/apple-iphone-16-pro-128-gb-titanio-natural/00019594977170,3970000000
iphone 7,Informational,60500,37,0.03,0.23,61,8,0,34,11,https://www.coppel.com/funda-mybat-clutch-cartera-negra-colgante-para-iphone-15-pro-max-mkp-439018369n2263,https://www.liverpool.com.mx/tienda?s=iphone+7,,https://www.bodegaaurrera.com.mx/ip/smartphones/iphone-apple-7-128-gb-oro-rosa/00084279709089,https://super.walmart.com.mx/ip/iphone-7-apple-32-gb-black-4g-lte-telcel/00750622732410,10890000000
iphone 8 plus,Informational,60500,38,0.04,0.39,5,16,0,20,12,https://www.coppel.com/iphone-8-plus,https://www.liverpool.com.mx/tienda?s=iphone+8+plus+black,,https://www.bodegaaurrera.com.mx/ip/smartphones/smartphone-iphone-8-plus-64-gb-dorado-apple-iphone-desbloqueado/00069029251954,https://www.walmart.com.mx/ip/smartphones/apple-iphone-8-plus-128-gb-dorado-100-auta-ntico-apple-apple-iphone-8-plus-smartphone-reacondicionado/00079205802151,3400000000
celular oppo,Informational,49500,56,0.06,1.00,4,8,29,39,21,https://www.coppel.com/celulares-oppo,https://www.liverpool.com.mx/tienda/?s=celulares%20oppo,https://www.chedraui.com.mx/oppo,https://www.bodegaaurrera.com.mx/browse/lp-celulares/marcas/celulares-oppo/320061_320132_1590020,https://www.walmart.com.mx/search?q=celular+oppo&z=1,223000000
celulares baratos,"Commercial, Informational",49500,41,0.05,1.00,6,34,3,8,2,https://www.coppel.com/celulares,https://www.liverpool.com.mx/tienda/?s=celulares,https://www.chedraui.com.mx/tecnologia/celulares-telefonia-y-wearables/celulares-y-smartphones,https://www.bodegaaurrera.com.mx/content/celulares/264800,https://www.walmart.com.mx/content/celulares/264800,57900000
encontrar mi iphone,"Informational, Transactional",49500,59,0.18,0.08,58,0,0,0,0,https://www.coppel.com/apple,,,,,660000000
iphone 6,Informational,49500,45,0.05,0.16,6,5,0,50,24,https://www.coppel.com/precio-iphone-6,https://www.liverpool.com.mx/tienda/?s=iphone%206,,https://www.bodegaaurrera.com.mx/ip/smartphones/iphone-6s-de-64-gb-apple-iphone-6s/00088846250020,https://www.walmart.com.mx/ip/smartphones/apple-iphone-6-128-gb-gris-100-autentico-apple-apple-iphone-6-smartphone-reacondicionado/00074062803117,5610000000
celulares en oferta,Informational,40500,40,0.06,1.00,4,1,7,8,6,https://www.coppel.com/celulares,https://www.liverpool.com.mx/tienda/hot-sale-celulares/catst52375756,https://www.chedraui.com.mx/tecnologia/celulares-telefonia-y-wearables/celulares-y-smartphones,https://www.bodegaaurrera.com.mx/browse/lp-celulares/smartphones/celulares-ofertas/320061_530003_1630020,https://www.walmart.com.mx/browse/especiales/ofertas-walmart/ofertas-celulares/360013_300279_300306,169000000
iphone reacondicionado,"Commercial, Informational",40500,44,0.14,1.00,8,4,0,74,5,https://www.coppel.com/celulares-reacondicionados,https://www.liverpool.com.mx/tienda/reacondicionados/catst23690313,,https://www.bodegaaurrera.com.mx/ip/smartphones/smartphone-iphone-11-reacondicionado-apple-64gb-reacondicionado/00019019922188,https://www.walmart.com.mx/browse/lp-celulares/marcas/celulares-iphone-reacondicionados/320061_320132_1370179,6110000
iphone xs max,Informational,40500,43,0.04,0.63,6,7,0,0,21,https://www.coppel.com/iphone-xs-max-precio,https://www.liverpool.com.mx/tienda?s=iphone+xs+max//,,,https://super.walmart.com.mx/ip/iphone-xs-max-apple-64-gb-gold-telcel/00750622733202,99
buscar mi iphone,Informational,33100,59,0.15,0.10,37,0,0,0,0,https://www.coppel.com/apple,,,,,88
iphone 9,Informational,33100,37,0.09,0.22,27,6,0,0,11,https://www.coppel.com/celulares-apple,https://www.liverpool.com.mx/tienda/?s=iphone%209,,,https://www.walmart.com.mx/browse/lp-celulares/marcas/iphone/320061_320132_320144,6260000000
iphone 11 precio,Informational,27100,38,0.03,0.99,5,3,0,22,7,https://www.coppel.com/telcel-apple-iphone-11-64-gb-black-pm-2332993,https://www.liverpool.com.mx/tienda/?s=iphone%2011,,https://www.bodegaaurrera.com.mx/ip/smartphones/iphone-11-apple-64-gb-negro-telcel/00750622733527,https://www.walmart.com.mx/ip/smartphones/iphone-11-apple-128-gb-negro-telcel/00750622733533,557000000
iphone 13 precio,Transactional,27100,36,0.04,1.00,6,2,0,92,14,https://www.coppel.com/l/iphone-13-buen-precio,https://www.liverpool.com.mx/tienda/?s=iphone%2013,,https://www.bodegaaurrera.com.mx/ip/smartphones/iphone-13-apple-128-gb-azul-telcel/00750622734342,https://www.walmart.com.mx/ip/smartphones/iphone-13-apple-256-gb-azul-telcel/00750622734343,341000000
iphone 15 precio,Transactional,27100,51,0.05,1.00,8,5,0,27,15,https://www.coppel.com/telcel-apple-iphone-15-128-gb-negro-pm-2256663,https://www.liverpool.com.mx/tienda/?s=iphone%2015,,https://www.bodegaaurrera.com.mx/ip/smartphones/apple-iphone-15-128-gb-azul/00019594903653,https://www.walmart.com.mx/ip/smartphones/apple-iphone-15-128gb-blue-modelo-a3092/00019594903476,615000000
iphone 15 pro max precio,Transactional,27100,34,0.05,1.00,14,6,0,32,17,https://www.coppel.com/telcel-iphone-15-pro-max-256-gb-titanio-azul-pm-2247593,https://www.liverpool.com.mx/tienda/?s=iphone%2015,,https://www.bodegaaurrera.com.mx/ip/smartphones/apple-iphone-15-pro-max-256-gb-titanio-natural/00019594904861,https://www.walmart.com.mx/search?q=iphone+15+pro+max&z=1,1960000000
iphone 5,Informational,27100,39,0.06,0.07,36,11,0,15,19,https://www.coppel.com/celulares-apple,https://www.liverpool.com.mx/tienda?s=iphone+5c+apple//,,https://www.bodegaaurrera.com.mx/ip/smartphones/apple-iphone-5-64-gb-negro-100-autentico/00074062802722,https://www.walmart.com.mx/ip/smartphones/apple-iphone-5-16-gb-negro-100-autentico-apple-apple-iphone-5-smartphone-reacondicionado/00074062802572,11150000000
iphone 7 plus,"Informational, Transactional",27100,38,0.02,0.20,21,9,0,36,13,https://www.coppel.com/celular-reacondicionado-iphone-7-plus-128gb-plateado-funda-de-regalo-mkp-10424897,https://www.liverpool.com.mx/tienda?s=iphone+7+plus//,,https://www.bodegaaurrera.com.mx/ip/smartphones/iphone-7-plus-apple-256-gb-dorado-4g-lte-telcel/00750622732435,https://www.walmart.com.mx/ip/smartphones/smartphone-iphone-7-plus-apple-32gb-rosa/00046523087294,4370000000
cargador de iphone,Informational,22200,39,0.09,1.00,5,2,0,0,17,https://www.coppel.com/cargadores-y-cables-iphone,https://www.liverpool.com.mx/tienda/?s=cargador%20de%20iphone%20original,,,https://www.walmart.com.mx/ip/cargadores-y-baterias-portatiles/cargador-carga-rapida-20w-cable-lightning-apple-para-iphone/00003660231202,94
celular huawei,Informational,22200,53,0.09,1.00,4,5,15,89,25,https://www.coppel.com/celulares-huawei,https://www.liverpool.com.mx/tienda/celulares-huawei/catst64314805,https://www.chedraui.com.mx/huawei,https://www.bodegaaurrera.com.mx/browse/lp-celulares/marcas/celulares-huawei/320061_320132_320133,https://www.walmart.com.mx/search?q=celular+huawei&z=1,277000000
celular xiaomi,Informational,22200,60,0.04,1.00,6,9,16,17,5,https://www.coppel.com/celulares-xiaomi,https://www.liverpool.com.mx/tienda/?s=xiaomi,https://www.chedraui.com.mx/xiaomi,https://www.bodegaaurrera.com.mx/browse/lp-celulares/marcas/celulares-xiaomi/320061_320132_320135,https://www.walmart.com.mx/browse/lp-celulares/marcas/celulares-xiaomi/320061_320132_320135,374000000
fundas para celular,Commercial,22200,31,0.20,0.71,9,5,0,47,17,https://www.coppel.com/fundas-y-carcasas,https://www.liverpool.com.mx/tienda/fundas-para-celular/catst46663863,,https://www.bodegaaurrera.com.mx/browse/celulares/accesorios-celulares/fundas-para-celulares/264800_264823_264819,https://www.walmart.com.mx/browse/celulares/accesorios-celulares/fundas-para-celulares/264800_264823_264819,14600000
iphone 12 precio,Informational,22200,31,0.03,1.00,6,3,0,24,13,https://www.coppel.com/apple-iphone-12-tiendas,https://www.liverpool.com.mx/tienda/?s=iphone%2012,,https://www.bodegaaurrera.com.mx/browse/lp-celulares/marcas/celulares-iphone-12/320061_320132_1370181,https://www.walmart.com.mx/search?q=iphone+12&z=1,417000000
iphone 16 pro max precio,Transactional,22200,40,0.08,1.00,17,4,0,0,18,https://www.coppel.com/iphone-16-pro-max-telcel-256-gb-titanio-negro-pm-2693293,https://www.liverpool.com.mx/tienda/pdp/apple-iphone-16-pro-max-6.9-pulgadas-super-retina-xdr/1163571341,,,https://www.walmart.com.mx/ip/smartphones/apple-iphone-16-pro-max-256-gb-titanio-desierto/00019594980612,2370000000
iphone 4,"Informational, Transactional",22200,39,0.02,0.04,16,0,0,99,38,https://www.coppel.com/celulares-apple,,,https://www.bodegaaurrera.com.mx/ip/funda-para-iphone-arco-iris-latino-magsafe-a-prueba-de-golpes-tpu-con-estampado/00485622918149,https://www.walmart.com.mx/ip/smartphones/iphone-4-apple-8-gb-negro-desbloqueado/00722228999153,8140000000
cargador iphone original,Informational,18100,35,0.05,1.00,4,2,0,0,12,https://www.coppel.com/cargadores-y-cables-iphone,https://www.liverpool.com.mx/tienda/?s=cargador%20de%20iphone%20original,,,https://www.walmart.com.mx/ip/cargadores-y-baterias-portatiles/cubo-cargador-apple-usb-c-20w-original/00019019888996,77
celular redmi,Informational,18100,49,0.04,1.00,6,8,0,19,9,https://www.coppel.com/celulares-xiaomi,https://www.liverpool.com.mx/tienda/?s=xiaomi,,https://www.bodegaaurrera.com.mx/browse/lp-celulares/marcas/celulares-xiaomi/320061_320132_320135,https://www.walmart.com.mx/browse/lp-celulares/marcas/celulares-xiaomi/320061_320132_320135,300000000
celulares gama alta,"Commercial, Informational",18100,37,0.07,1.00,5,8,0,46,54,https://www.coppel.com/blog/tecnologia-entretenimiento/celulares-de-gama-alta-que-debes-conocer-blg/,https://www.liverpool.com.mx/tienda/celulares/cat5150024,,https://www.bodegaaurrera.com.mx/content/celulares/smartphones/264800_264807,https://www.walmart.com.mx/content/celulares/264800,53300000
celulares gamer,"Commercial, Informational",18100,30,0.02,1.00,4,0,0,67,30,https://www.coppel.com/celular-gamer,,,https://www.bodegaaurrera.com.mx/ip/combo-gatillos-apalfuy-para-celular-dedales-gamer-para-juegos/00911611194085,https://www.walmart.com.mx/content/celulares/264800,61100000
cuando sale el iphone 16,Informational,18100,52,0.46,0.09,55,16,0,0,0,https://www.coppel.com/celulares-apple,https://www.liverpool.com.mx/tienda/iphone-16/cat10910007,,,,1310000000
fundas iphone 11,Informational,18100,25,0.19,1.00,7,6,0,0,23,https://www.coppel.com/funda-para-iphone-11,https://www.liverpool.com.mx/tienda/?s=funda%20iphone%2011,,,https://www.walmart.com.mx/browse/celulares/accesorios-celulares/carcasas-para-iphone/264800_264823_264831,13300000
iphone 14 pro max precio,Transactional,18100,30,0.05,1.00,6,4,0,0,24,https://www.coppel.com/l/iphone-14-pro-max,https://www.liverpool.com.mx/tienda/?s=iphone%2014,,,https://www.walmart.com.mx/ip/smartphones/iphone-14-pro-max-apple-128gb-esim-negro-reacondicionado/00085369892793,1660000000
iphone 15 rosa,"Informational, Transactional",18100,49,0.11,1.00,10,40,0,30,7,https://www.coppel.com/celular-apple-iphone-15-desbloqueado-128-gb-rosa-pm-2230353,https://www.liverpool.com.mx/tienda/?s=iphone%2015,,https://www.bodegaaurrera.com.mx/ip/smartphones/apple-iphone-15-128-gb-rosa/00019594903617,https://www.walmart.com.mx/ip/smartphones/apple-iphone-15-128-gb-rosa/00019594903617,495000000
iphone se 2020,Informational,18100,38,0.13,0.78,17,51,0,54,26,https://www.coppel.com/telcel-apple-iphone-se-(2020)-64-gb-negro-pm-2633513,https://www.liverpool.com.mx/tienda/?s=iphone%20se//,,https://www.bodegaaurrera.com.mx/ip/smartphones/apple-iphone-se-2020-64gb-rojo-reacondicionado-rojo-5-apple-iphone-se-2/00046141767978,https://www.walmart.com.mx/ip/smartphones/apple-iphone-se-2020-64-gb-blanco-100-autentico-apple-apple-iphone-se-2020-smartphone-reacondicionado/00060746985522,1890000000
iphone xr precio,Transactional,18100,36,0.02,0.80,10,5,0,12,8,https://www.coppel.com/celular-reacondicionado-clase-a-apple-iphone-xr-64-gb-color-coral-mkp-10421154,https://www.liverpool.com.mx/tienda/?s=iphone%20xr//,,https://www.bodegaaurrera.com.mx/ip/smartphones/smartphone-iphone-xr-apple-64gb-reacondicionado/00019019877648,https://www.walmart.com.mx/ip/smartphones/smartphone-iphone-xr-64-gb-apple-xr/00040005801403,99
abrir whatsapp web en el celular,Informational,14800,54,0.07,0.08,88,0,0,0,0,https://www.coppel.com/whatsapp,,,,,636000000
accesorios para celulares,Commercial,14800,31,0.15,0.67,4,16,8,21,20,https://www.coppel.com/accesorios-para-celulares,https://www.liverpool.com.mx/tienda/fundas-para-celular/catst46663863,https://www.chedraui.com.mx/tecnologia/celulares-telefonia-y-wearables/accesorios-para-telefonia,https://www.bodegaaurrera.com.mx/content/celulares/accesorios-celulares/264800_264823,https://super.walmart.com.mx/browse/electronica/telefonia/accesorios-para-celular/2910049_3160043_3190010,86100000
audifonos iphone,Informational,14800,33,0.06,1.00,8,3,0,0,20,https://www.coppel.com/apple-audifonos,https://www.liverpool.com.mx/tienda/?s=audifonos%20apple,,,https://www.walmart.com.mx/ip/audifonos-y-reproductores-portatiles/audifonos-in-ear-apple-earpods-blancos-lightning/00019019800169,88
buscar iphone,Informational,14800,61,0.17,0.13,17,0,0,0,0,https://www.coppel.com/celulares-apple,,,,,1120000000
cargador inalambrico iphone,Informational,14800,35,0.06,1.00,12,6,0,13,11,https://www.coppel.com/cargadores-inalambricos,https://www.liverpool.com.mx/tienda/?s=cargador%20inal%C3%A1mbrico//,,https://www.bodegaaurrera.com.mx/ip/cargadores-y-baterias-portatiles/cargador-inalambrico-magsafe-apple-cargador-magsafe-para-iphone-airpods-mhxh3am-a/00019425219237,https://www.walmart.com.mx/ip/cargadores-y-baterias-portatiles/cargador-inalambrico-magnetico-celular-iphone-15w-para-auto-levamdar-carga-rapida/00624721122647,5470000
celular poco,Informational,14800,34,0.04,1.00,14,3,0,35,5,https://www.coppel.com/poco-x3-pro,https://www.liverpool.com.mx/tienda/?s=xiaomi%20poco,,https://www.bodegaaurrera.com.mx/content/celulares/smartphones/264800_264807,https://www.walmart.com.mx/search?q=xiaomi+celular+poco&z=1,652000000
celulares poco,"Commercial, Informational",14800,39,0.04,1.00,18,3,0,20,5,https://www.coppel.com/celulares-xiaomi,https://www.liverpool.com.mx/tienda/?s=xiaomi%20poco,,https://www.bodegaaurrera.com.mx/browse/lp-celulares/marcas/celulares-xiaomi/320061_320132_320135,https://www.walmart.com.mx/search?q=xiaomi+celular+poco&z=1,227000000
celulares zte,Informational,14800,32,0.06,1.00,4,14,13,18,78,https://www.coppel.com/celulares-zte,https://www.liverpool.com.mx/tienda/?s=zte,https://www.chedraui.com.mx/celular-zte-blade-l9-32gb-azul-telcel-3717475/p,https://www.bodegaaurrera.com.mx/browse/zte/YnJhbmQ6WlRF,https://www.walmart.com.mx/content/celulares/264800,24000000
como rastrear un numero de celular,Informational,14800,46,0.18,0.86,69,68,0,0,0,https://www.coppel.com/blog/tecnologia-entretenimiento/como-rastrear-tu-pedido-coppel-guia-paso-a-paso-blg/,https://www.liverpool.com.mx/tienda/paginas/whatsapp,,,,109000000
cuanto cuesta el iphone 13,Informational,14800,32,0.03,1.00,5,4,0,35,15,https://www.coppel.com/l/iphone-13-buen-precio,https://www.liverpool.com.mx/tienda/?s=iphone%2013,,https://www.bodegaaurrera.com.mx/ip/smartphones/iphone-13-apple-128-gb-negro-reacondicionado/00085369895437,https://www.walmart.com.mx/search?q=apple+iphone+13+tiendas&z=1,193000000
cuanto cuesta el iphone 15,"Informational, Navigational",14800,55,0.28,0.86,9,4,0,32,22,https://www.coppel.com/celular-apple-iphone-15-desbloqueado-128-gb-rosa-pm-2230353,https://www.liverpool.com.mx/tienda/?s=iphone%2015,,https://www.bodegaaurrera.com.mx/ip/smartphones/apple-iphone-15-128-gb-azul/00019594903653,https://www.walmart.com.mx/search?q=iphone+15&z=1,104000000
fundas para iphone 11,Informational,14800,25,0.12,1.00,6,4,0,59,11,https://www.coppel.com/funda-para-iphone-11,https://www.liverpool.com.mx/tienda/?s=funda%20iphone%2011,,https://www.bodegaaurrera.com.mx/ip/accesorios-celulares/funda-de-onda-rizada-transparente-bonita-a-la-moda-para-iphone-11-12-13-14-pro-max-7-8-plus-x-xr-xs-funda-de-parachoques-a-prueba-de-golpes-capa-estetica-tan-jianjun-unisex/00485523006979,https://www.walmart.com.mx/browse/celulares/accesorios-celulares/carcasas-para-iphone/264800_264823_264831,96
iphone 16 cuando sale,Informational,14800,56,0.22,0.23,35,28,0,0,0,https://www.coppel.com/celulares-apple,https://www.liverpool.com.mx/tienda/iphone/catst27033795,,,,1560000000
iphone 16 precio,"Navigational, Transactional",14800,45,0.15,0.69,16,5,0,0,43,https://www.coppel.com/celulares-apple,https://www.liverpool.com.mx/tienda/iphone-16/cat10910007,,,https://www.walmart.com.mx/ip/smartphones/apple-iphone-16-128-gb-blanco-dual-sim-fisica-apple/00019594982207,412000000
